img_url,model,price
https://hotline.ua//img/tx/244/244672478_s265.jpg,Lenovo Legion 5 15 (82B500AHPB),27857.0
https://hotline.ua//img/tx/234/234370904_s265.jpg,HUAWEI MateBook X Pro 2020 Emerald Green (53010VUL),51999.0
https://hotline.ua//img/tx/267/267582361_s265.jpg,HP Pavilion Gaming 15-ec1013ns (13C98EA),27975.0
https://hotline.ua//img/tx/268/268054057_s265.jpg,ASUS VivoBook 15 K513EQ Transparent Silver (K513EQ-BQ028),25945.0
https://hotline.ua//img/tx/238/238227454_s265.jpg,Xiaomi RedmiBook 14 II i5 10th 16/512Gb/MX350 Silver (JYU4307CN),22343.0
https://hotline.ua//img/tx/268/268054056_s265.jpg,Lenovo ThinkBook 15 G2 ARE Mineral Grey (20VG006JRA),20121.0
https://hotline.ua//img/tx/266/266969605_s265.jpg,EVOO Chrome Book (EV-CH-116-1-BK),3992.0
https://hotline.ua//img/tx/238/238226163_s265.jpg,Xiaomi Mi Notebook Pro 15.6 i5 10th 8/512GB MX250 (JYU4159CN),24853.0
https://hotline.ua//img/tx/265/265410095_s265.jpg,MSI GF65 Thin 10UE (GF6510UE-051XPL),42726.0
https://hotline.ua//img/tx/263/263093218_s265.jpg,HP OMEN 15-en0013dx (2V926UA),33464.0
https://hotline.ua//img/tx/268/268062320_s265.jpg,Lenovo IdeaPad Gaming 3 15ARH05 (82EY00GPRA),24999.0
https://hotline.ua//img/tx/267/267488051_s265.jpg,HP 255 G7 Asteroid Silver (197U3EA),11749.0
https://hotline.ua//img/tx/265/265375451_s265.jpg,Lenovo IdeaPad S145-15API Black (81UT00NRRA),9256.0
https://hotline.ua//img/tx/267/267628609_s265.jpg,Lenovo Legion 5 15ARH05H Phantom Black (82B1008GRA),32299.0
https://hotline.ua//img/tx/211/211478745_s265.jpg,"Microsoft Surface Laptop 3 (VGY-00008, VGY-00004, VGY-00001)",25053.0
https://hotline.ua//img/tx/238/238226135_s265.jpg,Xiaomi Mi Notebook Pro 15.6 i5 10th 8/512GB MX350 (JYU4224CN),25760.0
https://hotline.ua//img/tx/234/234089621_s265.jpg,ASUS TUF Gaming FX505DT Gold Steel (FX505DT-BQ443),23272.0
https://hotline.ua//img/tx/232/232279504_s265.jpg,Xiaomi RedmiBook 14 i7 10th 16/512Gb/MX250 Silver (JYU4268CN),22208.0
https://hotline.ua//img/tx/238/238228175_s265.jpg,Xiaomi Mi Gaming Laptop 15.6 Black (JYU4146CN),28809.0
https://hotline.ua//img/tx/234/234373408_s265.jpg,HUAWEI MateBook D 15 Space Gray (53010TSY),17986.0
https://hotline.ua//img/tx/240/240379910_s265.jpg,Lenovo IdeaPad L340-15IRH Gaming Gradient Blue (81LK01JXRA),20999.0
https://hotline.ua//img/tx/268/268054055_s265.jpg,ASUS VivoBook 15 K513EQ Indie Black (K513EQ-BQ027),25999.0
